Date,State,Dead,Injured,Total,Description
25/07/2019,North Carolina,3,1,4,"Officers responded to a call at a residence and discovered three deceased victims, and one wounded male, resulting from a double murder–suicide."
25/07/2019,California,4,2,6,"A man killed four people, including his father and brother, and wounded two more at a total of four different crime scenes across the San Fernando Valley. Two of the wounded later died, bringing the death toll to 4 people."
23/07/2019,Florida,2,2,4,Two men were killed and two others were wounded after an argument between a group escalated into a shooting.
21/07/2019,Illinois,0,4,4,"A gunman opened fire on a group of people, wounding four, as they congregated outside of a gas station."
21/07/2019,"Washington, D.C.",0,4,4,"Four people were injured in a shooting, which was captured by surveillance video."
20/07/2019,New Jersey,0,6,6,Six people were wounded in an overnight shooting.
20/07/2019,Pennsylvania,0,4,4,Four teenagers—between the ages of 14 and 18—were wounded in a shooting at a graduation party.
20/07/2019,Illinois,0,7,7,"Seven people were wounded in a shooting in Lincoln Park, after an argument between two groups escalated."
18/07/2019,Illinois,1,3,4,One woman was killed and three people were injured on a porch at a home in Garfield Park in Chicago's West Side.
17/07/2019,Texas,1,3,4,Five men in a vehicle were targeted by a shooter who killed one and injured three others.
16/07/2019,Texas,0,4,4,"A man opened fire on his co-workers at a moving company, injuring four, after a disagreement escalated. The suspect was later arrested."
15/07/2019,Louisiana,1,3,4,One person was killed and three were wounded in an apartment complex.
15/07/2019,Georgia,0,4,4,Four people were wounded in a shooting after a potential drug deal turns deadly.
15/07/2019,Maryland,2,2,4,"A man attempted to use a gun to demand methadone, then killed one and wounded two before being killed by police in a shootout."
13/07/2019,Pennsylvania,0,7,7,Seven people were wounded in a shooting during a neighborhood basketball game.
13/07/2019,Illinois,1,4,5,One person was killed and four were wounded in a drive-by shooting in Chicago's South Side.
11/07/2019,Texas,0,4,4,"Four suspects got into a gunfight, wounding four teenagers in a common area at an apartment complex."
08/07/2019,North Carolina,2,2,4,"Two people were killed and two children—16 and 10-years-old, were wounded after a domestic dispute escalated."
08/07/2019,"Washington, D.C.",0,4,4,Four perpetrators wounded four men in a shooting outside of a 7-Eleven store.
07/07/2019,Michigan,2,4,6,"Six people were shot, two fatally, while in a car at a gas station. Police are looking for two suspects."
07/07/2019,Kansas,0,4,4,Four people were wounded in a shooting after a potential argument escalated.
07/07/2019,Illinois,0,4,4,Four people were wounded in an early morning shooting in Chicago's Englewood neighborhood.
07/07/2019,New Mexico,0,4,4,Four people were discovered wounded in a parking lot in the downtown area.
06/07/2019,California,0,4,4,"Four people were discovered wounded by police, who responded to a shots fired call; the victims had driven away from the initial scene."
06/07/2019,Michigan,2,2,4,"After a dispute over fireworks, a man shot into a crowd and injured a 12-year-old child and a woman, then barricaded himself in his home. Police discovered him and a woman deceased in the home."
06/07/2019,North Carolina,0,4,4,Four people were shot in a McDonald's parking lot after a dispute involving a rideshare vehicle.
05/07/2019,New York,0,4,4,A gunman opened fire — injuring four people in the East New York neighborhood.
05/07/2019,Illinois,0,5,5,Five people were wounded in a shooting in Chicago's Woodlawn community.
05/07/2019,Nevada,1,3,4,One person died and three were wounded in a shooting.
